,name,rating,reviews,ctype,hq,old,employees
4949,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4950,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4951,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4952,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4953,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4954,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4955,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4956,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4957,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4958,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4959,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4960,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4961,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4962,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4963,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4964,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4965,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4966,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4967,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4968,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4969,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4970,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4971,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4972,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4973,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4974,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4975,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4976,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4977,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4978,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4979,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4980,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4981,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4982,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4983,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4984,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4985,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4986,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4987,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4988,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4989,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4990,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4991,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4992,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4993,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4994,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4995,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4996,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4997,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4998,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4999,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
5000,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
